,Unnamed: 0,Age,Workclass,Fnlwgt,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Target,Cluster
2642,10006,-0.7190290446217191,0.2189184333453108,-0.2988639124000899,0.1643278421801911,-0.4404339288173468,0.0483987230975182,0.116514690982776,0.0663344752413578,0.2638545847483791,0.3139546302661298,-0.1475020947104593,-0.218673350785262,-0.4954439693933983,0.2544111761923818,0,0
1495,10240,-0.7190290446217191,0.2189184333453108,-0.2630498669212169,0.1643278421801911,-0.4404339288173468,0.0483987230975182,0.0411343097538173,0.0143433437920215,0.2638545847483791,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.4954439693933983,0.2544111761923818,0,0
3039,26141,-0.7951834997736498,0.2189184333453108,-0.4998257590314084,0.1643278421801911,-0.4404339288173468,0.4550110249662138,0.0411343097538173,0.4557277032993497,0.2638545847483791,0.3139546302661298,-0.1475020947104593,-0.218673350785262,-0.4954439693933983,0.2544111761923818,0,0
2936,13014,-0.7951834997736498,0.2189184333453108,-0.1292677493620549,0.1643278421801911,-0.4404339288173468,0.0483987230975182,0.0411343097538173,0.0143433437920215,0.2638545847483791,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.7458915523920838,0.2544111761923818,0,0
5232,17857,-1.0998013203813723,0.2189184333453108,-0.1847303039355738,0.1643278421801911,-0.4404339288173468,0.0483987230975182,0.0411343097538173,0.1066891366346901,0.2638545847483791,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.4954439693933983,0.2544111761923818,0,0
1500,14783,-0.1859478585582045,0.2858286629303442,-0.3662897210659173,0.2631981637337414,0.344281026291782,0.0702875399361022,0.4853420195439739,0.1066891366346901,0.2638545847483791,0.3139546302661298,-0.1475020947104593,-0.218673350785262,0.589828890267572,0.2544111761923818,0,1
524,29494,0.0425155068975874,0.2689601250977326,-0.4438710452705477,0.2631981637337414,0.344281026291782,0.0483987230975182,0.4853420195439739,0.0663344752413578,0.2638545847483791,0.1137828711756881,-0.1475020947104593,-0.218673350785262,0.756793945600029,0.2544111761923818,0,1
3273,20601,0.0425155068975874,0.2189184333453108,-0.2733284222568554,0.2539682539682539,0.7366385038463464,0.4550110249662138,0.305159165751921,0.4935988620199146,0.2638545847483791,0.1137828711756881,-0.1475020947104593,-0.218673350785262,0.3393813072688865,0.2544111761923818,0,1
1490,282,-0.3382567688620658,0.2189184333453108,-0.1361201195858139,0.2539682539682539,0.7366385038463464,0.1073124406457739,0.2706473214285714,0.0663344752413578,0.1299715909090909,0.1137828711756881,-0.1475020947104593,-0.218673350785262,0.3393813072688865,0.2544111761923818,0,1
2831,12051,-0.4144112240139965,0.2189184333453108,-0.5653965061449475,0.2539682539682539,0.7366385038463464,0.0483987230975182,0.2255900621118012,0.1066891366346901,0.2638545847483791,0.3139546302661298,-0.1475020947104593,-0.218673350785262,0.3393813072688865,0.2544111761923818,0,1
4846,32446,1.1086778790246166,0.2189184333453108,-0.2915288475887457,0.1643278421801911,-0.4404339288173468,0.0967351874244256,0.1242362525458248,0.0663344752413578,0.1299715909090909,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.2449963863947128,0.2544111761923818,0,2
898,1640,1.032523423872686,0.2189184333453108,-0.2915288475887457,0.1643278421801911,-0.4404339288173468,0.1073124406457739,0.0411343097538173,0.0393700787401574,0.1299715909090909,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.2449963863947128,0.2544111761923818,0,2
4463,7191,1.032523423872686,0.2189184333453108,-0.1637567508750076,0.1643278421801911,-0.4404339288173468,0.0483987230975182,0.2706473214285714,0.1066891366346901,0.2638545847483791,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.4119614417271698,0.2544111761923818,0,2
