,A,B,C,D,E,F,G,H,Target
5515,0.8725793936097287,1.3894482577235434,2.6438386296660132,-1.5992414541599183,4.392889426914037,-2.184694381918797,-6.159178899202817,0.554141984330623,1
1441,0.7399308939598002,-0.28298582544740425,1.0586728948245925,-0.015859936936475305,3.340112245943299,0.3914941503306373,-1.1957975240533019,0.47657756468307033,1
4370,1.5007388860975093,0.8397706931979935,2.081153000022772,-1.0130887258687487,2.7746243156244987,0.5514739639045857,-2.3493423409995686,2.617078256898176,0
5862,0.33916020777336064,0.6835353613718557,1.7909922117644963,-0.3631129337989795,0.8613756220673323,1.318395234377284,-1.4247056343873183,0.44670459204055324,0
3657,-1.6471766257372835,-1.131738147523115,0.06754055677431325,-0.3146374407784461,-1.3940367005318355,0.995245173732826,2.013093466244915,-1.6929336995868722,1
4410,-1.8722431332867107,-2.5845524447995594,2.70267281075669,-1.0714890438038522,-2.7071655279003677,1.6274973516846167,0.5339564851705496,-3.6145107468977917,1
2622,3.118073681799019,1.3625521331404842,1.1088530514876862,0.031973145736438224,0.4958033443146006,-1.2145454351068086,-3.723662950107406,2.8968057004864862,1
1830,0.41024326747463635,-3.0387960475125277,1.9158960388919442,-1.8418834415777658,-1.410453467970676,0.5513065909032384,1.4749565226323538,1.0321158711805567,0
504,0.5961652086617535,2.429147605272324,-2.466691809908097,2.355072672475703,4.4085271930124,-0.25340516330725604,-0.5916781627787984,0.4043134767719725,0
516,2.9763786279040816,2.1880706772229246,0.15671656739598716,0.7394524796243509,0.5018372390290835,-2.4708811678450346,-4.812712324991631,1.8672195052287404,0
1029,0.9037891829796137,-1.0669463892618571,1.2643287215061068,-0.6581515839268958,-1.752330980181811,0.7652722378034902,0.4306720402794732,1.1350481088798479,1
5668,0.5168757195675661,-1.2538007876171036,1.9459597725553541,-1.6408558154521935,0.05704025708410576,0.7472190466105437,0.16058056691013606,1.6436235175589993,0
1083,1.231356920617346,-1.5708011755342217,-3.252644354339676,-0.03298124284182709,-0.685746433937878,-1.7140997078632605,4.122314433388678,3.474515824243346,0
1052,-2.2752275725054747,0.4629689945454729,-2.3547320213218277,0.20958840794562014,3.5141072929913757,0.06259212968135319,2.5796675814710426,-0.6513610757135817,0
4044,4.0071369740109954,0.6520527701535661,0.6800259646990625,0.8302562001422602,0.5284574400181582,-3.609643356401049,-5.795185749448682,1.3752608588053041,0
861,0.4526153019738919,0.3094902480169721,-0.6459273794892407,-2.257963431311614,-0.7766782575898743,-2.975501786301911,-0.48351033182205594,3.144342492131398,0
1211,-1.6854928035874157,-0.3578453142682039,2.161315037963126,-2.6518613429142017,-2.5832164963420077,0.9406791784929417,0.4139174335164557,0.154925379096704,1
4480,1.1859030337299488,-1.9110088535813623,-1.3318830331804012,0.12101677798217106,0.2734854954484758,2.2213359145662785,5.52634595328132,3.852271331407862,1
492,-2.342805233314756,3.1546965115557724,-3.459151729028224,1.1976485585301906,-0.6299633502442372,2.0311520436887607,4.074390561195823,0.5438137577013651,0
5161,-2.249362570045557,3.215469062127022,-0.7027773239447368,-0.5180046550766884,0.5257304518202552,2.6815598636747993,2.0121611009655846,1.309086653171355,0
1314,-1.9257425647847013,0.748818106842271,-1.9179651476077901,-2.151548529383035,1.5352964294603428,1.1536257496224838,5.062709630652155,4.092501359245743,0
4344,-3.0669538845946778,-0.9216564835420527,-4.694359787500065,-2.3170168908464883,2.515519297512089,-0.2588881600657602,8.703432613577057,4.221628157709518,0
2197,1.0155782957275794,3.3384032706576736,0.008343579352310115,1.8818818499631125,0.6667405958482767,2.3952711585699578,-1.2254754362628848,1.0067517546462301,0
3981,2.4249890876344384,-0.6822158822979233,0.6234526321701854,0.9689302578320339,1.0696116676837748,1.5676634035273254,0.4515141986417834,2.147490943358017,1
5482,-2.5095261432563225,-2.2231300033552115,2.5085390546797663,-3.012195298594052,-1.626897622986412,1.7479576627589606,2.170090551457862,-0.7129580666877368,1
4976,2.339771480010028,3.213924095498605,-0.029775073773036453,0.9510856932851871,1.5549145554137602,-1.8283457412548278,-4.840923197912242,1.6521388283013283,0
5496,1.0756395128843912,0.8064331109787098,-1.1672569577517997,-0.24946747839540173,0.6791395044830274,-2.179244640397734,-0.9553819956871973,1.994685146914016,0
5604,-0.824971516421713,3.1223469830724184,-0.5710357629255707,1.1298870416830877,2.5109932475976455,1.0853326130683407,-1.2856033315088018,-0.551589833285159,0
5516,-1.2666781304847774,1.448483985824322,-0.23366360784099394,-0.886027526302673,0.6829145762413178,2.966007536585799,3.145172658706296,2.5155212291753157,0
3942,-1.8337802548151239,0.8031220458622182,1.9846114669514368,-3.017534851152545,1.6686856298927482,3.6894525670877236,2.737941531517299,3.4177109283522618,0
3212,-2.3239888719589326,-2.9727429769204234,2.0022372878944714,0.9434033053826805,-1.1613812641017602,3.5216292295610994,2.01149021790345,-5.63979640008666,1
4904,-0.6255749268934507,1.9788346420394776,-2.1502476300326494,-0.5268913618343868,2.0380965199865755,-0.9274931661172406,1.0500795618825043,2.4154292777916955,0
3935,2.93440462452829,-3.336622701318044,0.9478876557582976,-0.1522435506828014,2.422590497073978,0.11012321960545535,1.008637188636107,2.7360151702031352,1
3202,2.9415131044790312,1.6355619764454399,-0.5430020837345926,0.37588932774692735,0.6912235012389817,-2.273805157565596,-2.933138332412293,3.149677845454506,0
2383,-0.1720453279489791,2.1755735142430996,-3.366423666653457,2.4964280729512396,2.706263149456951,-1.1044063741133279,-0.018725014535902963,-0.8288148093647711,0
569,1.030728093424957,2.742908469488923,-2.178334561086141,2.8855702122812774,3.616498824074093,-0.22418248933588325,-1.5301359642341903,-0.13391859418274366,0
3843,-2.376890639362432,2.4527258536687806,0.2725651318398641,-1.0245887354990566,1.4663638705361202,2.528850767479515,1.2534825105349148,0.7146826298905695,0
678,-0.33409057972457257,5.868975228570171,3.498196809088297,-0.9865641991814277,3.465258597313017,2.73889134356153,-5.60708370756994,1.6200857744473107,0
849,2.1935714833057887,1.102183093292522,-2.1335161045267372,2.3093176879697443,1.6578303844519306,-1.0953767725070072,-0.7185905572241746,1.1718873662292073,0
3958,-2.7276828529023867,-0.40151251658840237,-5.018736528622544,0.40576664526277206,2.4464374292414153,0.26768613213572334,7.177395882224094,0.9169331708355688,0
2596,0.026818395644200077,1.1563190617946022,-2.142146411313874,1.0050179801796335,3.4092370928269133,-1.192828256092955,-0.05161814800345944,0.41039335625437134,0
3304,-1.5090884109635339,0.41901164079943953,0.5907377755546628,0.15880372101498916,-3.7711989202216745,1.6980975475701485,0.8069952096803912,-2.095443744317198,1
741,2.1406420687833085,1.0596197629390058,-1.4260860877664139,4.622229357698961,-0.18661033301529995,2.2625493743644967,0.12462241162747682,-1.4506206781817879,1
4510,1.5504614380456092,1.6812292269152487,3.7901757311318955,0.4123705175968426,2.3696898446798618,2.261696319737231,-4.71238272041134,-0.11879407252330454,0
3682,1.8471561805132268,1.1615971444905122,1.4724743641558917,-0.6847199363671493,1.4102284324950751,1.3112848245631819,-0.9877383308925725,3.6906418975007482,0
3226,-0.05473109535326759,0.7458995390654014,1.8480216534023228,-0.4406611724351486,0.998073622157548,1.3216967712977215,-1.5161219168354263,-0.011352703343401549,0
1327,1.1283908616430687,0.2428472798141219,1.3481407829709353,0.4582416423110124,4.3862396737232485,-1.087766775006183,-4.013175542951355,-0.8418140982489248,1
5716,0.421048831450922,0.733924634709175,0.5450955573132165,-0.32081394361308846,2.700029762203889,1.3203235556691988,0.16448762386795415,1.9807943022249739,1
4322,3.1052989912808977,0.7566367442761854,1.083945499133136,2.260956242497603,-0.9962719033264613,1.8825010435387806,-1.6762794475959815,0.9147096508658332,1
3707,0.3292933029391807,2.537356845817399,3.368450728671899,-3.898823632812178,1.9019907646307659,-4.339593487409328,-8.187318247178013,1.582181812196721,1
2343,2.9638451120929235,2.8529958475583084,1.2434211894349907,0.4690226673242007,1.0715184249407343,-2.855757230469341,-7.083467428081327,1.171534201159321,1
94,-1.0932202654445973,-1.2358326892043283,1.9311957620645943,-1.6871569771433719,-0.7640783187008392,1.592880535596716,1.0994336299388596,-0.05777957217412921,1
4735,-2.7711654064272997,-0.06832968399929706,-1.7135922884727184,-1.095745917952481,-0.9898754081633481,3.925205194188974,7.583624477537665,2.2921683550473295,0
4327,-2.8017253475838433,0.33547035435513317,-3.5928477521337006,-1.2703130305524324,1.1546557428004671,1.1133752120009617,7.003150004484175,2.884443165959393,0
688,4.226508216154218,-0.7697046154783669,-0.7528830963663856,0.7392339986654503,-0.22414027107817813,-3.2317192731735624,-2.1979339693132594,3.0873996819647282,0
4658,-1.5544421607737027,-3.7637467274021392,1.5563602627693751,-1.6649638569618244,1.0239653348770879,0.8686349373002971,2.34297595592068,-1.497955278941065,1
3645,1.9306126210210808,0.1989911765373411,0.2847703297039115,1.7213807997563777,-0.923884132802856,1.7484900699248422,0.0920623294544911,0.722945136006373,1
2170,-0.9073784567759717,1.1306608153952482,3.820535524889543,-3.548351207338183,3.4864645920516066,-0.9006017359260683,-4.744001109310498,0.8255884268568423,1
3672,-0.07404881360924231,0.2331321433458906,2.456990488193752,-1.5016721611560322,0.9915470655028844,-0.3586305884760981,-2.986896461883164,-0.18926239774005182,1
5036,-1.771655680256836,-1.819772663607019,5.245881812174063,-2.5321632316049705,-4.349742392511088,1.7390227811185535,-2.2109191988697154,-3.4641805839715003,1
4318,3.1257123884053106,1.948675603909361,-0.6399312596042747,1.2809022232503287,0.515299751038629,-1.938694786972891,-3.3603796339672165,2.283394644379462,0
1616,4.31659740900106,0.6091098540282002,0.40345345181035785,0.23749527991663738,0.3107354838547636,-3.5116595022699317,-4.732860924523162,3.155688281752724,0
4317,-0.7214379104657048,3.11515155745175,0.4850975608286614,-0.26787777551726516,-0.4229383438426182,3.6967206666669212,1.3919009282783135,2.4198770633486815,0
4578,-3.0148173654330512,-0.7850399214707418,-2.436057153964094,-1.899312103145535,2.2729581201297795,1.0280879209365696,6.368508129776299,2.1376513412735743,0
3581,3.45580774495383,-0.1334600785764095,1.165215077597824,2.0755407164804267,0.29886222470747104,1.4151430520155974,-1.6511199370901999,1.166104373007766,0
113,2.040168480616672,2.1809740233010317,1.0164910385526893,-0.3303882379538793,1.2839018062222234,-3.209164317865325,-6.094974515738628,1.0115185009147822,0
1156,-1.5160356432178206,1.3983502488062347,-2.181167655117645,-0.22877271346986408,3.6918820085712145,-0.7457184620756574,1.2280415710408532,0.7565943175860946,0
4964,1.8797451713517317,-1.8762627874825313,-3.024786672401108,3.19083892393424,4.276679707837127,2.108734638893736,4.997508151540585,1.674547187901074,1
301,-0.9306027699731427,-1.3127174204999568,1.1194504256934756,0.0703746048513572,-0.9688466786160768,1.7456584474860062,1.0802917488878798,-1.9172835979496403,1
5457,4.1360127769947725,2.504037010662869,0.6399643672718837,2.537168381315542,1.9151482220391323,-1.1008432489615012,-5.812921578067261,1.136462361771105,1
1428,3.0136971564363857,-2.1134999898895335,0.7704790457047004,0.7667975547819716,2.475286465535726,0.7451902354942238,0.3770556296054783,2.294582706788976,1
1390,2.422682721943948,0.1180210329162521,-0.02708830279571095,2.185818212630161,1.4465548715867835,1.671197246068039,-0.0553184216499862,1.1023545829567574,1
2149,2.489011750200144,0.2784443648548862,-0.3310652883674867,2.371600581915115,-0.3938074616179219,2.4851778203890973,1.1720557855659948,1.641875528716815,1
2749,1.935314664184675,-0.984274432612608,2.77306338925193,0.5842536638750762,-0.1731040638683745,1.8680753737047366,-1.7635963925317262,-0.14488114041072686,0
957,0.5143032152193996,1.277809084298138,2.9777649585748107,-4.015045680718282,-0.9899238107874546,-2.94361155258973,-4.9172319327143,2.7584352123732376,1
5880,1.2746502581906258,-0.9989687001938709,-1.8898010697316985,1.7176151574751082,1.4869354306066032,2.046350126337857,4.127672543654674,2.111831094475887,1
4052,-2.318818970094494,-2.726671625871028,1.9866951843909975,1.5615747590540876,-2.4913285026117284,3.077837395813991,1.0109031621242042,-7.026410913964057,1
2377,0.7887882749465186,2.1274733504409857,-0.9638375801908816,-0.9656496256130727,1.1807080803929222,-1.8231614227995516,-1.2212098680168417,3.3031840552507843,0
2698,-0.09209061780011374,1.868426512918075,2.9206607394695094,-2.748329427515672,1.1919550033336932,-1.1596253841434114,-4.597973883052422,1.4082452263358727,1
