,Age,Workclass,Fnlwgt,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Target,Cluster
30037,1.1086778790246166,0.2189184333453108,-0.2915288475887457,0.1643278421801911,-0.4404339288173468,0.0967351874244256,0.1242362525458248,0.0663344752413578,0.1299715909090909,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.2449963863947128,0.2544111761923818,0,0
16416,1.1848323341765472,0.2189184333453108,-0.3254594377160605,0.1643278421801911,-0.4404339288173468,0.0967351874244256,0.061527057079318,0.0663344752413578,0.2638545847483791,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.0780313310622559,0.2544111761923818,0,0
1505,1.032523423872686,0.2189184333453108,-0.2915288475887457,0.1643278421801911,-0.4404339288173468,0.1073124406457739,0.0411343097538173,0.0393700787401574,0.1299715909090909,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.2449963863947128,0.2544111761923818,0,0
19280,1.1848323341765472,0.2858286629303442,-0.1994382919572886,0.1643278421801911,-0.4404339288173468,0.4550110249662138,0.2706473214285714,0.4557277032993497,0.2638545847483791,0.3139546302661298,-0.1475020947104593,-0.218673350785262,-0.0780313310622559,0.2544111761923818,0,0
6658,1.1086778790246166,0.2189184333453108,-0.2141368153792467,0.1643278421801911,-0.4404339288173468,0.0967351874244256,0.1242362525458248,0.1066891366346901,0.1299715909090909,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.0780313310622559,0.2544111761923818,0,0
26266,1.1086778790246166,0.2189184333453108,-0.209584342896335,0.1643278421801911,-0.4404339288173468,0.4550110249662138,0.2255900621118012,0.4557277032993497,0.2638545847483791,0.3139546302661298,-0.1475020947104593,-0.218673350785262,-0.0780313310622559,0.2544111761923818,1,0
16643,1.1086778790246166,0.2189184333453108,-0.347758034742547,0.1643278421801911,-0.4404339288173468,0.4550110249662138,0.2255900621118012,0.4557277032993497,0.2638545847483791,0.3139546302661298,-0.1475020947104593,-0.218673350785262,-0.0780313310622559,0.2544111761923818,1,0
9247,-0.7190290446217191,0.2189184333453108,-0.2988639124000899,0.1643278421801911,-0.4404339288173468,0.0483987230975182,0.116514690982776,0.0663344752413578,0.2638545847483791,0.3139546302661298,-0.1475020947104593,-0.218673350785262,-0.4954439693933983,0.2544111761923818,0,1
3568,-0.8713379549255804,0.2189184333453108,-0.407697345000925,0.1643278421801911,-0.4404339288173468,0.1073124406457739,0.2706473214285714,0.0143433437920215,0.2638545847483791,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.4954439693933983,0.2544111761923818,0,1
24040,-0.8713379549255804,0.2189184333453108,-0.2829728494088036,0.1643278421801911,-0.4404339288173468,0.0483987230975182,0.4853420195439739,0.1066891366346901,0.1299715909090909,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.3284789140609414,0.2544111761923818,0,1
8971,-0.6428745894697885,0.2189184333453108,-0.3230838231771607,0.1643278421801911,-0.4404339288173468,0.1073124406457739,0.0411343097538173,0.0663344752413578,0.2638545847483791,0.1137828711756881,-0.1475020947104593,-0.218673350785262,-0.4119614417271698,0.2544111761923818,0,1
